"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Period","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"MEX","Mexico","B1_GA","Gross domestic product at market prices - output approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1993-Q1","Q1-1993","MXN","Mexican Peso","6","Millions",,,376537.2,,
"MEX","Mexico","B1_GA","Gross domestic product at market prices - output approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1993-Q2","Q2-1993","MXN","Mexican Peso","6","Millions",,,382866.6,,
"MEX","Mexico","B1_GA","Gross domestic product at market prices - output approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1993-Q3","Q3-1993","MXN","Mexican Peso","6","Millions",,,394903.5,,
"MEX","Mexico","B1_GA","Gross domestic product at market prices - output approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1993-Q4","Q4-1993","MXN","Mexican Peso","6","Millions",,,406561.1,,
"MEX","Mexico","B1_GA","Gross domestic product at market prices - output approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1994-Q1","Q1-1994","MXN","Mexican Peso","6","Millions",,,420022.7,,
"MEX","Mexico","B1_GA","Gross domestic product at market prices - output approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1994-Q2","Q2-1994","MXN","Mexican Peso","6","Millions",,,436938.5,,
"MEX","Mexico","B1_GA","Gross domestic product at market prices - output approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1994-Q3","Q3-1994","MXN","Mexican Peso","6","Millions",,,452889.6,,
"MEX","Mexico","B1_GA","Gross domestic product at market prices - output approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1994-Q4","Q4-1994","MXN","Mexican Peso","6","Millions",,,472099.3,,
"MEX","Mexico","B1_GA","Gross domestic product at market prices - output approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1995-Q1","Q1-1995","MXN","Mexican Peso","6","Millions",,,502719.2,,
"MEX","Mexico","B1_GA","Gross domestic product at market prices - output approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1995-Q2","Q2-1995","MXN","Mexican Peso","6","Millions",,,554697.6,,
"MEX","Mexico","B1_GA","Gross domestic product at market prices - output approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1995-Q3","Q3-1995","MXN","Mexican Peso","6","Millions",,,600822.5,,
"MEX","Mexico","B1_GA","Gross domestic product at market prices - output approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1995-Q4","Q4-1995","MXN","Mexican Peso","6","Millions",,,653903.3,,
"MEX","Mexico","B1_GA","Gross domestic product at market prices - output approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1996-Q1","Q1-1996","MXN","Mexican Peso","6","Millions",,,709085.2,,
"MEX","Mexico","B1_GA","Gross domestic product at market prices - output approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1996-Q2","Q2-1996","MXN","Mexican Peso","6","Millions",,,749812.3,,
"MEX","Mexico","B1_GA","Gross domestic product at market prices - output approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1996-Q3","Q3-1996","MXN","Mexican Peso","6","Millions",,,799116.5,,
"MEX","Mexico","B1_GA","Gross domestic product at market prices - output approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1996-Q4","Q4-1996","MXN","Mexican Peso","6","Millions",,,861206,,
"MEX","Mexico","B1_GA","Gross domestic product at market prices - output approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1997-Q1","Q1-1997","MXN","Mexican Peso","6","Millions",,,908740.7,,
"MEX","Mexico","B1_GA","Gross domestic product at market prices - output approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1997-Q2","Q2-1997","MXN","Mexican Peso","6","Millions",,,958665.8,,
"MEX","Mexico","B1_GA","Gross domestic product at market prices - output approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1997-Q3","Q3-1997","MXN","Mexican Peso","6","Millions",,,1015643.6,,
"MEX","Mexico","B1_GA","Gross domestic product at market prices - output approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1997-Q4","Q4-1997","MXN","Mexican Peso","6","Millions",,,1079824.6,,
"MEX","Mexico","B1_GA","Gross domestic product at market prices - output approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1998-Q1","Q1-1998","MXN","Mexican Peso","6","Millions",,,1128538.3,,
"MEX","Mexico","B1_GA","Gross domestic product at market prices - output approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1998-Q2","Q2-1998","MXN","Mexican Peso","6","Millions",,,1177139.6,,
"MEX","Mexico","B1_GA","Gross domestic product at market prices - output approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1998-Q3","Q3-1998","MXN","Mexican Peso","6","Millions",,,1229537.5,,
"MEX","Mexico","B1_GA","Gross domestic product at market prices - output approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1998-Q4","Q4-1998","MXN","Mexican Peso","6","Millions",,,1277150.1,,
"MEX","Mexico","B1_GA","Gross domestic product at market prices - output approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1999-Q1","Q1-1999","MXN","Mexican Peso","6","Millions",,,1342832.1,,
"MEX","Mexico","B1_GA","Gross domestic product at market prices - output approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1999-Q2","Q2-1999","MXN","Mexican Peso","6","Millions",,,1407389,,
"MEX","Mexico","B1_GA","Gross domestic product at market prices - output approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1999-Q3","Q3-1999","MXN","Mexican Peso","6","Millions",,,1468769,,
"MEX","Mexico","B1_GA","Gross domestic product at market prices - output approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1999-Q4","Q4-1999","MXN","Mexican Peso","6","Millions",,,1522270.1,,
"MEX","Mexico","B1_GA","Gross domestic product at market prices - output approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2000-Q1","Q1-2000","MXN","Mexican Peso","6","Millions",,,1598325.9,,
"MEX","Mexico","B1_GA","Gross domestic product at market prices - output approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2000-Q2","Q2-2000","MXN","Mexican Peso","6","Millions",,,1655872.2,,
"MEX","Mexico","B1_GA","Gross domestic product at market prices - output approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2000-Q3","Q3-2000","MXN","Mexican Peso","6","Millions",,,1704343.4,,
"MEX","Mexico","B1_GA","Gross domestic product at market prices - output approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2000-Q4","Q4-2000","MXN","Mexican Peso","6","Millions",,,1728134.6,,
"MEX","Mexico","B1_GA","Gross domestic product at market prices - output approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2001-Q1","Q1-2001","MXN","Mexican Peso","6","Millions",,,1751374,,
"MEX","Mexico","B1_GA","Gross domestic product at market prices - output approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2001-Q2","Q2-2001","MXN","Mexican Peso","6","Millions",,,1760699.5,,
"MEX","Mexico","B1_GA","Gross domestic product at market prices - output approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2001-Q3","Q3-2001","MXN","Mexican Peso","6","Millions",,,1778477.1,,
"MEX","Mexico","B1_GA","Gross domestic product at market prices - output approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2001-Q4","Q4-2001","MXN","Mexican Peso","6","Millions",,,1780994.8,,
"MEX","Mexico","B1_GA","Gross domestic product at market prices - output approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2002-Q1","Q1-2002","MXN","Mexican Peso","6","Millions",,,1780182.9,,
"MEX","Mexico","B1_GA","Gross domestic product at market prices - output approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2002-Q2","Q2-2002","MXN","Mexican Peso","6","Millions",,,1853134.1,,
"MEX","Mexico","B1_GA","Gross domestic product at market prices - output approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2002-Q3","Q3-2002","MXN","Mexican Peso","6","Millions",,,1896866,,
"MEX","Mexico","B1_GA","Gross domestic product at market prices - output approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2002-Q4","Q4-2002","MXN","Mexican Peso","6","Millions",,,1925434.2,,
"MEX","Mexico","B1_GA","Gross domestic product at market prices - output approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2003-Q1","Q1-2003","MXN","Mexican Peso","6","Millions",,,1951842.8,,
"MEX","Mexico","B1_GA","Gross domestic product at market prices - output approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2003-Q2","Q2-2003","MXN","Mexican Peso","6","Millions",,,1944827.5,,
"MEX","Mexico","B1_GA","Gross domestic product at market prices - output approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2003-Q3","Q3-2003","MXN","Mexican Peso","6","Millions",,,1958231.8,,
"MEX","Mexico","B1_GA","Gross domestic product at market prices - output approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2003-Q4","Q4-2003","MXN","Mexican Peso","6","Millions",,,2014708.2,,
"MEX","Mexico","B1_GA","Gross domestic product at market prices - output approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2004-Q1","Q1-2004","MXN","Mexican Peso","6","Millions",,,2095367,,
