"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1993",18.0053117827537,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1994",17.9168848710084,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1995",18.9391943502546,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1996",19.1748110450196,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1997",19.5955769201339,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1998",18.3438927598724,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1999",19.4346594389549,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2000",22.2257207126709,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2001",20.77459420115,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2002",19.0950858969237,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2003",17.2032857977397,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2004",18.2651015697588,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2005",19.8939212990376,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2006",20.2036088949588,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2007",20.1616732338809,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2008",23.0048129381936,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2009",19.810007754315,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2010",21.4364170540906,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2011",21.4808284059974,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2012",19.9561676149363,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2013",21.0394549992806,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2014",19.984845509759,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2015",19.2510570754507,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2016",21.1932001494647,
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","1993",31.4638980456583,"E"
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","1994",32.1585338842986,"E"
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","1995",33.5331403455378,
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","1996",34.2492761073574,
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","1997",37.0280827384957,
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","1998",38.351021186462,
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","1999",39.3570378852981,
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","2000",43.3462739519887,
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","2001",44.6175555179483,
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","2002",45.31938619858,
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","2003",44.57041471914,
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","2004",46.8672149740213,
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","2005",48.6197522046932,
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","2006",50.8416688618235,
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","2007",52.560869422371,
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","2008",53.2488606164087,
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","2009",45.2074165608437,
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","2010",51.2621603273359,
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","2011",53.9486708516394,
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","2012",53.9736761965302,
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","2013",53.4412932967224,
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","2014",53.3865790462424,
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","2015",53.0890605587958,
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","2016",52.4063936498056,
