"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1993",18.5208166490251,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1994",19.8846667893329,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1995",19.3931375912388,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1996",18.9000001800858,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1997",20.4748536380903,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1998",20.790755650731,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1999",21.5943517368742,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2000",22.1394876508015,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2001",20.7826816731256,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2002",21.2010587295246,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2003",19.9174485708545,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2004",21.0060810671628,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2005",21.7103057916763,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2006",21.8478307885289,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2007",22.7086594643905,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2008",22.7930912712426,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2009",20.8396639745591,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2010",20.4703160052576,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2011",21.7295182659334,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2012",21.2522627313421,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2013",21.4670353387174,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2014",21.5095275701541,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2015",21.5265843486597,
