"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"XTEXVA01","Exports in goods, s.a.","CAN","Canada","GP","Growth previous period","Q","Quarterly","1993-Q1","Q1-1993","PC","Percentage","0","Units",,,3.18324114022847,,
"XTEXVA01","Exports in goods, s.a.","CAN","Canada","GP","Growth previous period","Q","Quarterly","1993-Q2","Q2-1993","PC","Percentage","0","Units",,,4.35327587226651,,
"XTEXVA01","Exports in goods, s.a.","CAN","Canada","GP","Growth previous period","Q","Quarterly","1993-Q3","Q3-1993","PC","Percentage","0","Units",,,-1.58001108557413,,
"XTEXVA01","Exports in goods, s.a.","CAN","Canada","GP","Growth previous period","Q","Quarterly","1993-Q4","Q4-1993","PC","Percentage","0","Units",,,2.8322526060935,,
"XTEXVA01","Exports in goods, s.a.","CAN","Canada","GP","Growth previous period","Q","Quarterly","1994-Q1","Q1-1994","PC","Percentage","0","Units",,,-0.75295357922057,,
"XTEXVA01","Exports in goods, s.a.","CAN","Canada","GP","Growth previous period","Q","Quarterly","1994-Q2","Q2-1994","PC","Percentage","0","Units",,,7.63928744222255,,
"XTEXVA01","Exports in goods, s.a.","CAN","Canada","GP","Growth previous period","Q","Quarterly","1994-Q3","Q3-1994","PC","Percentage","0","Units",,,7.41284146903762,,
"XTEXVA01","Exports in goods, s.a.","CAN","Canada","GP","Growth previous period","Q","Quarterly","1994-Q4","Q4-1994","PC","Percentage","0","Units",,,7.38308615689327,,
"XTEXVA01","Exports in goods, s.a.","CAN","Canada","GP","Growth previous period","Q","Quarterly","1995-Q1","Q1-1995","PC","Percentage","0","Units",,,1.6872257588549,,
"XTEXVA01","Exports in goods, s.a.","CAN","Canada","GP","Growth previous period","Q","Quarterly","1995-Q2","Q2-1995","PC","Percentage","0","Units",,,2.00180614820617,,
"XTEXVA01","Exports in goods, s.a.","CAN","Canada","GP","Growth previous period","Q","Quarterly","1995-Q3","Q3-1995","PC","Percentage","0","Units",,,0.160463417810634,,
"XTEXVA01","Exports in goods, s.a.","CAN","Canada","GP","Growth previous period","Q","Quarterly","1995-Q4","Q4-1995","PC","Percentage","0","Units",,,3.78829253357498,,
"XTEXVA01","Exports in goods, s.a.","CAN","Canada","GP","Growth previous period","Q","Quarterly","1996-Q1","Q1-1996","PC","Percentage","0","Units",,,-1.78638588010276,,
"XTEXVA01","Exports in goods, s.a.","CAN","Canada","GP","Growth previous period","Q","Quarterly","1996-Q2","Q2-1996","PC","Percentage","0","Units",,,4.96330232840348,,
"XTEXVA01","Exports in goods, s.a.","CAN","Canada","GP","Growth previous period","Q","Quarterly","1996-Q3","Q3-1996","PC","Percentage","0","Units",,,1.49384068328338,,
"XTEXVA01","Exports in goods, s.a.","CAN","Canada","GP","Growth previous period","Q","Quarterly","1996-Q4","Q4-1996","PC","Percentage","0","Units",,,-1.14573118256213,,
"XTEXVA01","Exports in goods, s.a.","CAN","Canada","GP","Growth previous period","Q","Quarterly","1997-Q1","Q1-1997","PC","Percentage","0","Units",,,5.28841989194523,,
"XTEXVA01","Exports in goods, s.a.","CAN","Canada","GP","Growth previous period","Q","Quarterly","1997-Q2","Q2-1997","PC","Percentage","0","Units",,,-1.67107332991204,,
"XTEXVA01","Exports in goods, s.a.","CAN","Canada","GP","Growth previous period","Q","Quarterly","1997-Q3","Q3-1997","PC","Percentage","0","Units",,,2.45393285373137,,
"XTEXVA01","Exports in goods, s.a.","CAN","Canada","GP","Growth previous period","Q","Quarterly","1997-Q4","Q4-1997","PC","Percentage","0","Units",,,0.156875009242348,,
"XTEXVA01","Exports in goods, s.a.","CAN","Canada","GP","Growth previous period","Q","Quarterly","1998-Q1","Q1-1998","PC","Percentage","0","Units",,,-1.2387566503543,,
"XTEXVA01","Exports in goods, s.a.","CAN","Canada","GP","Growth previous period","Q","Quarterly","1998-Q2","Q2-1998","PC","Percentage","0","Units",,,0.50407915484548,,
"XTEXVA01","Exports in goods, s.a.","CAN","Canada","GP","Growth previous period","Q","Quarterly","1998-Q3","Q3-1998","PC","Percentage","0","Units",,,-2.36483646959543,,
"XTEXVA01","Exports in goods, s.a.","CAN","Canada","GP","Growth previous period","Q","Quarterly","1998-Q4","Q4-1998","PC","Percentage","0","Units",,,3.63363812296326,,
"XTEXVA01","Exports in goods, s.a.","CAN","Canada","GP","Growth previous period","Q","Quarterly","1999-Q1","Q1-1999","PC","Percentage","0","Units",,,3.65049680391994,,
"XTEXVA01","Exports in goods, s.a.","CAN","Canada","GP","Growth previous period","Q","Quarterly","1999-Q2","Q2-1999","PC","Percentage","0","Units",,,2.98307954456004,,
"XTEXVA01","Exports in goods, s.a.","CAN","Canada","GP","Growth previous period","Q","Quarterly","1999-Q3","Q3-1999","PC","Percentage","0","Units",,,4.71740243506167,,
